City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Erzin,TR,79.47,broken clouds,36.9559,36.2,Artemis Otel
2,Praia Da Vitoria,PT,74.34,few clouds,38.7333,-27.0667,Hotel Branco I
4,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
6,Puerto Colombia,CO,80.53,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
11,Butaritari,KI,80.78,light rain,3.0707,172.7902,Isles Sunset Lodge
12,Jamestown,US,70.52,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
15,Ivybridge,GB,72.72,overcast clouds,50.3904,-3.9191,The Anchor Inn
16,Georgetown,MY,81.95,overcast clouds,5.4112,100.3354,Cititel Penang
17,Hithadhoo,MV,82.26,overcast clouds,-0.6,73.0833,Scoop Guest House
18,Ponta Do Sol,PT,78.12,scattered clouds,32.6667,-17.1,Hotel do Campo
21,Roma,US,73.72,light rain,43.2128,-75.4557,Wingate By Wyndham Rome
26,Behshahr,IR,76.59,clear sky,36.6923,53.5526,Abbas Abad Hotel & Restaurant
35,Hamilton,US,74.89,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
37,Souillac,MU,70.9,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
39,Mahebourg,MU,71.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
41,Benguela,AO,73.67,few clouds,-12.5763,13.4055,Hotel Praia Morena
42,Olutanga,PH,83.14,overcast clouds,7.3106,122.8464,Morales Lodge
46,Folkestone,GB,74.1,overcast clouds,51.0833,1.1833,Folkestone Grand Burstin Hotel
48,Clearlake,US,81.18,clear sky,38.9582,-122.6264,Americas Best Value Inn & Suites Clearlake Wine Country
49,Lagoa,PT,73.31,few clouds,39.05,-27.9833,Casa Das Faias
51,Nieuw Amsterdam,SR,80.02,broken clouds,5.8833,-55.0833,Hotel Stardust
52,Atuona,PF,75.81,broken clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
54,Vaini,TO,71.49,few clouds,-21.2,-175.2,Keleti Beach Resort
55,Nikolskoye,RU,70.9,broken clouds,59.7035,30.7861,Tourist House - Sablino
56,Hongjiang,CN,79.97,broken clouds,27.11,109.9956,洪江大酒店
58,Kapaa,US,72.1,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Hilo,US,74.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
61,Chima,IN,83.62,scattered clouds,30.6854,76.0863,"JASVIR SINGH AUJLA, ADVOCATE"
62,Grand Gaube,MU,71.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
65,Kavieng,PG,81.16,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
66,Naze,JP,80.04,scattered clouds,28.3667,129.4833,Shishime Hotel
67,Broome,US,74.53,overcast clouds,42.2506,-75.833,Chenango Valley State Park
69,Rajapur,IN,80.78,few clouds,25.3833,81.15,Sahu Ji Galla Mills
72,Biak,ID,74.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
73,Eydhafushi,MV,81.54,broken clouds,5.1033,73.0708,Soneva Fushi
74,Ko Samui,TH,84.06,overcast clouds,9.5357,99.9357,The Passage
80,Dallas,US,74.98,very heavy rain,32.7668,-96.7836,"Hotel Indigo Dallas Downtown, an IHG Hotel"
81,Port Hedland,AU,71.53,clear sky,-20.3167,118.5667,The Esplanade Hotel
84,Faanui,PF,77.59,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
91,Bethel,US,75.02,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
93,Dingle,PH,76.08,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
96,Lorengau,PG,81.27,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
98,Veraval,IN,80.87,overcast clouds,20.9,70.3667,Lords Inn Somnath
104,Cayenne,GF,81.39,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
106,Sucua,EC,76.57,light rain,-2.4667,-78.1667,Finca el Piura
107,Salalah,OM,75.43,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
115,Bengkulu,ID,75.45,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
117,Carquefou,FR,76.14,overcast clouds,47.2982,-1.4902,Best Western Plus Hôtel de la Régate
118,Torbay,CA,73.89,clear sky,47.6666,-52.7314,Gallows Cove
119,Samarinda,ID,73.72,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
121,Carnarvon,AU,71.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
127,Nouadhibou,MR,71.85,scattered clouds,20.931,-17.0347,El Medina
129,Saint-Felicien,CA,73.69,overcast clouds,48.6501,-72.4491,Hôtel du Jardin
137,Scicli,IT,80.4,overcast clouds,36.7902,14.7014,Le Dimore Dei Venti
141,Santa Isabel,BR,71.85,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
142,Santa Cruz,BO,80.51,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
144,Saint Anthony,US,79.83,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
145,Saint-Philippe,RE,72.21,scattered clouds,-21.3585,55.7679,Le four à pain
146,Vanimo,PG,77.27,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
148,Damghan,IR,77.52,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
149,Lishui,CN,83.88,overcast clouds,28.4604,119.9103,Bayi Hotel
153,Katsuura,JP,77.14,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
158,Mporokoso,ZM,74.5,broken clouds,-9.3727,30.125,Kutemwa lodge
159,Thai Binh,VN,82.2,overcast clouds,20.45,106.3333,Sweden Hotel
161,Chapais,CA,72.07,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
162,Namie,JP,76.71,overcast clouds,37.4833,141.0,いこいの村なみえ
163,Sabang,ID,82.54,overcast clouds,5.8933,95.3214,Hotel Citra
165,Hambantota,LK,79.77,overcast clouds,6.1241,81.1185,Bungalow 63
168,Dawlatabad,AF,76.78,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
170,Mayumba,GA,72.28,overcast clouds,-3.432,10.6554,LIKWALE LODGE
173,Faya,SA,71.15,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
179,Palmer,US,75.58,overcast clouds,42.1584,-72.3287,Wedgewood Motel
180,Bonthe,SL,80.76,light rain,7.5264,-12.505,Bonthe Holiday Village
181,Karaton,ID,74.35,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
182,Bathsheba,BB,82.94,overcast clouds,13.2167,-59.5167,Atlantis Hotel
184,Avarua,CK,74.07,overcast clouds,-21.2078,-159.775,Paradise Inn
185,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
190,Baculin,PH,78.6,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
197,Sao Joao Da Barra,BR,70.03,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
199,Vaitape,PF,77.56,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
202,Port Blair,IN,81.05,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
204,New London,US,74.19,moderate rain,41.4834,-72.0662,Hyatt Place Mohegan Sun
206,Auki,SB,76.08,clear sky,-8.7676,160.7034,Auki Motel
208,Laguna,US,79.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
210,Fomboni,KM,75.94,clear sky,-12.28,43.7425,Auberge les abou
211,La Mana,EC,77.72,overcast clouds,-0.9333,-79.2167,Hotel Somagg
212,Malartic,CA,77.02,few clouds,48.1335,-78.1328,Camping Regional De Malartic
214,Mersing,MY,78.22,light rain,2.4312,103.8405,Timotel Hotel
215,Katra,IN,77.4,broken clouds,32.9833,74.95,KC Residency Katra (4 Star) Experience the Luxuries of a 5 Star
216,Suleja,NG,78.48,moderate rain,9.1758,7.1808,Capy Motel
219,Iralaya,HN,82.0,overcast clouds,15.0,-83.2333,Iglesia morava renovada
222,Llanes,ES,73.17,overcast clouds,43.4198,-4.7549,Hotel La Paz
229,Puri,IN,84.87,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
238,Kieta,PG,77.18,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
242,Asfi,MA,76.77,clear sky,32.2994,-9.2372,Hôtel Abda
245,Kenora,CA,77.77,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
246,San Andres,CO,81.52,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
248,Port Hawkesbury,CA,77.92,scattered clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
249,Rangapara,IN,83.71,scattered clouds,26.8167,92.65,Bidhan
254,Mogadishu,SO,76.28,broken clouds,2.0371,45.3438,Hotel Juba
255,Makakilo City,US,75.69,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
257,Los Llanos De Aridane,ES,76.91,clear sky,28.6585,-17.9182,Valle Aridane
258,Hope,US,75.07,light rain,33.6671,-93.5916,Best Western Hope
260,Gonbad-E Qabus,IR,84.65,clear sky,37.25,55.1672,Samin Building
272,Sterling,US,84.78,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
273,Kantilo,IN,83.28,overcast clouds,20.35,85.1833,Hostel Building at Kantilo Nilamadhaba Mahavidyalaya
276,Meshchovsk,RU,70.68,overcast clouds,54.3244,35.2808,Gaget detox place
279,Sao Filipe,CV,79.7,light rain,14.8961,-24.4956,Hotel Xaguate
283,Axim,GH,77.77,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
286,Paka,MY,78.82,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
287,Vezirkopru,TR,81.55,scattered clouds,41.1436,35.4547,Vezirkopru Ogretmenevi
289,General Cepeda,MX,77.77,overcast clouds,25.3833,-101.45,Hacienda Los Jose
291,Bandarbeyla,SO,76.26,clear sky,9.4942,50.8122,JABIR HOTEL
292,Palmas De Monte Alto,BR,83.8,scattered clouds,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
293,Denpasar,ID,77.72,overcast clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
294,Sal Rei,CV,80.67,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
295,Nantucket,US,72.0,overcast clouds,41.2835,-70.0995,Jared Coffin House
298,Loa Janan,ID,73.99,overcast clouds,-0.583,117.095,Kost bu jono
299,Encheng,CN,79.18,broken clouds,22.1839,112.3026,Pinghu Hostel
300,Ngara,TZ,71.35,overcast clouds,-2.5122,30.6558,Amahoro Hotel
302,Tiarei,PF,76.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
304,Tura,IN,79.41,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
