City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Erzin,TR,36.9559,36.2,79.47,86,68,9.33,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,68.4,73,93,12.97,overcast clouds
2,Praia Da Vitoria,PT,38.7333,-27.0667,74.34,71,21,7.05,few clouds
3,Guarapari,BR,-20.6667,-40.4975,69.89,74,100,7.74,overcast clouds
4,Saint George,US,37.1041,-113.5841,84.79,45,2,3.0,clear sky
5,Xining,CN,36.6167,101.7667,61.72,83,99,2.19,overcast clouds
6,Puerto Colombia,CO,10.9878,-74.9547,80.53,78,100,3.67,overcast clouds
7,Flinders,AU,-34.5833,150.8552,46.26,76,5,10.29,clear sky
8,Teya,RU,60.3778,92.6267,46.08,72,100,3.18,overcast clouds
9,Aspros,GR,40.9,22.6309,83.98,51,79,7.4,broken clouds
10,Yellowknife,CA,62.456,-114.3525,66.56,55,27,11.99,scattered clouds
11,Butaritari,KI,3.0707,172.7902,80.78,78,36,13.04,light rain
12,Jamestown,US,42.097,-79.2353,70.52,63,99,1.01,light rain
13,Puerto Ayora,EC,-0.7393,-90.3518,66.54,98,100,8.99,overcast clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,53.1,83,2,1.99,clear sky
15,Ivybridge,GB,50.3904,-3.9191,72.72,86,96,13.51,overcast clouds
16,Georgetown,MY,5.4112,100.3354,81.95,83,89,5.7,overcast clouds
17,Hithadhoo,MV,-0.6,73.0833,82.26,77,97,10.94,overcast clouds
18,Ponta Do Sol,PT,32.6667,-17.1,78.12,65,45,5.95,scattered clouds
19,Bluff,NZ,-46.6,168.3333,42.8,91,82,9.6,broken clouds
20,Hobart,AU,-42.8794,147.3294,40.05,85,53,5.17,broken clouds
21,Roma,US,43.2128,-75.4557,73.72,95,100,6.85,light rain
22,Busselton,AU,-33.65,115.3333,46.65,81,51,11.48,broken clouds
23,Esperance,AU,-33.8667,121.9,54.45,60,77,9.19,broken clouds
24,Bredasdorp,ZA,-34.5322,20.0403,54.63,76,23,6.87,few clouds
25,Moen,NO,69.1304,18.6123,55.87,66,75,7.07,broken clouds
26,Behshahr,IR,36.6923,53.5526,76.59,65,0,4.09,clear sky
27,Lompoc,US,34.6391,-120.4579,68.18,62,14,5.06,few clouds
28,Coquimbo,CL,-29.9533,-71.3436,58.53,74,38,3.87,scattered clouds
29,Pinheiro Machado,BR,-31.5783,-53.3811,55.06,71,3,5.88,clear sky
30,Cape Town,ZA,-33.9258,18.4232,62.28,64,7,10.0,clear sky
31,East London,ZA,-33.0153,27.9116,61.9,70,13,5.3,few clouds
32,Port Alfred,ZA,-33.5906,26.891,56.17,85,64,7.05,broken clouds
33,Leningradskiy,RU,69.3833,178.4167,37.35,84,0,12.35,clear sky
34,Usinsk,RU,65.9939,57.5281,66.45,46,26,8.86,scattered clouds
35,Hamilton,US,39.1834,-84.5333,74.89,85,0,3.0,clear sky
36,Qaanaaq,GL,77.484,-69.3632,36.81,63,24,4.18,few clouds
37,Souillac,MU,-20.5167,57.5167,70.9,75,13,12.84,few clouds
38,Lavrentiya,RU,65.5833,-171.0,36.05,77,2,2.1,clear sky
39,Mahebourg,MU,-20.4081,57.7,71.26,74,29,14.94,light rain
40,Mataura,NZ,-46.1927,168.8643,42.48,98,27,2.53,scattered clouds
41,Benguela,AO,-12.5763,13.4055,73.67,72,13,9.57,few clouds
42,Olutanga,PH,7.3106,122.8464,83.14,73,100,6.93,overcast clouds
43,Punta Arenas,CL,-53.15,-70.9167,42.12,65,59,6.87,broken clouds
44,Mayo,US,38.8876,-76.5119,85.46,82,13,3.0,few clouds
45,Ushuaia,AR,-54.8,-68.3,39.0,74,15,2.62,few clouds
46,Folkestone,GB,51.0833,1.1833,74.1,79,92,7.0,overcast clouds
47,Vestmannaeyjar,IS,63.4427,-20.2734,51.42,84,100,14.92,overcast clouds
48,Clearlake,US,38.9582,-122.6264,81.18,37,0,4.25,clear sky
49,Lagoa,PT,39.05,-27.9833,73.31,77,16,12.48,few clouds
50,Poum,NC,-20.2333,164.0167,72.93,82,96,9.66,overcast clouds
